"filename", "language", "PHP", "XML", "JavaScript", "JSON", "Markdown", "PostCSS", "comment", "blank", "total"
"/home/teod0r/Documents/Uni/kvalis/movie-platform/resources/views/auth/confirm-password.blade.php", "PHP", 22, 0, 0, 0, 0, 0, 0, 6, 28
"/home/teod0r/Documents/Uni/kvalis/movie-platform/resources/views/auth/forgot-password.blade.php", "PHP", 21, 0, 0, 0, 0, 0, 0, 5, 26
"/home/teod0r/Documents/Uni/kvalis/movie-platform/resources/views/auth/login.blade.php", "PHP", 189, 0, 0, 0, 0, 0, 0, 17, 206
"/home/teod0r/Documents/Uni/kvalis/movie-platform/resources/views/auth/register.blade.php", "PHP", 239, 0, 0, 0, 0, 0, 0, 17, 256
"/home/teod0r/Documents/Uni/kvalis/movie-platform/resources/views/auth/reset-password.blade.php", "PHP", 32, 0, 0, 0, 0, 0, 0, 8, 40
"/home/teod0r/Documents/Uni/kvalis/movie-platform/resources/views/auth/verify-email.blade.php", "PHP", 26, 0, 0, 0, 0, 0, 0, 6, 32
"/home/teod0r/Documents/Uni/kvalis/movie-platform/resources/views/components/application-logo.blade.php", "PHP", 3, 0, 0, 0, 0, 0, 0, 1, 4
"/home/teod0r/Documents/Uni/kvalis/movie-platform/resources/views/components/auth-session-status.blade.php", "PHP", 6, 0, 0, 0, 0, 0, 0, 2, 8
"/home/teod0r/Documents/Uni/kvalis/movie-platform/resources/views/components/danger-button.blade.php", "PHP", 3, 0, 0, 0, 0, 0, 0, 1, 4
"/home/teod0r/Documents/Uni/kvalis/movie-platform/resources/views/components/dropdown-link.blade.php", "PHP", 1, 0, 0, 0, 0, 0, 0, 1, 2
"/home/teod0r/Documents/Uni/kvalis/movie-platform/resources/views/components/dropdown.blade.php", "PHP", 31, 0, 0, 0, 0, 0, 0, 5, 36
"/home/teod0r/Documents/Uni/kvalis/movie-platform/resources/views/components/input-error.blade.php", "PHP", 8, 0, 0, 0, 0, 0, 0, 2, 10
"/home/teod0r/Documents/Uni/kvalis/movie-platform/resources/views/components/input-label.blade.php", "PHP", 4, 0, 0, 0, 0, 0, 0, 2, 6
"/home/teod0r/Documents/Uni/kvalis/movie-platform/resources/views/components/modal.blade.php", "PHP", 73, 0, 0, 0, 0, 0, 2, 4, 79
"/home/teod0r/Documents/Uni/kvalis/movie-platform/resources/views/components/nav-link.blade.php", "PHP", 9, 0, 0, 0, 0, 0, 0, 3, 12
"/home/teod0r/Documents/Uni/kvalis/movie-platform/resources/views/components/primary-button.blade.php", "PHP", 3, 0, 0, 0, 0, 0, 0, 1, 4
"/home/teod0r/Documents/Uni/kvalis/movie-platform/resources/views/components/responsive-nav-link.blade.php", "PHP", 9, 0, 0, 0, 0, 0, 0, 3, 12
"/home/teod0r/Documents/Uni/kvalis/movie-platform/resources/views/components/review-list.blade.php", "PHP", 67, 0, 0, 0, 0, 0, 0, 6, 73
"/home/teod0r/Documents/Uni/kvalis/movie-platform/resources/views/components/secondary-button.blade.php", "PHP", 3, 0, 0, 0, 0, 0, 0, 1, 4
